call_number,domain,quality,n_shots,case_index,test_input,prompt,score,prompt_chars
11,json_extraction,high,3,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""John Smith is 34 years old and lives in New York. He works as a software engineer.""",1.0,1038
12,json_extraction,high,3,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.""",1.0,1027
13,json_extraction,high,3,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""The product SKU is AB-1042, priced at $29.99, available in red and blue.""",1.0,1028
14,json_extraction,high,3,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.""",0.0,1031
15,json_extraction,high,3,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Order #5523 placed on March 12 for 3 units of Widget X at $15 each.""",0.0,1023
16,json_extraction,high,3,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.""",0.8,1038
17,json_extraction,high,3,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.""",0.75,1022
18,json_extraction,high,3,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Emma Wilson, age 22, studies computer science at MIT. She is from Boston.""",0.8,1029
19,json_extraction,high,3,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.""",0.5,1028
20,json_extraction,high,3,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\n\nNow extract structured JSON from the following text:\n""Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.""",0.5,1038
21,json_extraction,high,5,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""John Smith is 34 years old and lives in New York. He works as a software engineer.""",1.0,1407
22,json_extraction,high,5,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.""",1.0,1396
23,json_extraction,high,5,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""The product SKU is AB-1042, priced at $29.99, available in red and blue.""",1.0,1397
24,json_extraction,high,5,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.""",0.0,1400
25,json_extraction,high,5,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""Order #5523 placed on March 12 for 3 units of Widget X at $15 each.""",0.2,1392
26,json_extraction,high,5,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","You are a precise information extraction system. Your task is to parse unstructured natural language text and extract structured data as valid JSON.\n\nRules:\n- Output ONLY a valid JSON object. No explanation, no markdown, no extra text.\n- Use lowercase keys with underscores (snake_case).\n- Infer numeric types where applicable (e.g., age should be an integer, not a string).\n- If a field is not present in the text, omit it from the JSON.\n\nExamples:\n\nExample 1:\n  Input: Bob Chen is 25 and works as a designer in Seattle.\n  Output: {""name"": ""Bob Chen"", ""age"": 25, ""job"": ""designer"", ""city"": ""Seattle""}\n\nExample 2:\n  Input: Alice, 30, is a nurse from Boston.\n  Output: {""name"": ""Alice"", ""age"": 30, ""job"": ""nurse"", ""city"": ""Boston""}\n\nExample 3:\n  Input: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\n  Output: {""plan"": ""Basic"", ""monthly_price"": 9, ""users"": 1, ""storage_gb"": 10}\n\nExample 4:\n  Input: Meeting on March 3 at 10am in Room A with the finance team.\n  Output: {""date"": ""March 3"", ""time"": ""10am"", ""location"": ""Room A"", ""team"": ""finance""}\n\nExample 5:\n  Input: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\n  Output: {""model"": ""Toyota Camry"", ""year"": 2021, ""mileage_km"": 45000, ""color"": ""silver"", ""price"": 22000}\n\n\nNow extract structured JSON from the following text:\n""Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.""",0.8,1407
