call_number,domain,quality,n_shots,case_index,test_input,score,score_pct
27,JSON Extraction,High,5,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.75,75.0%
28,JSON Extraction,High,5,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
29,JSON Extraction,High,5,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
30,JSON Extraction,High,5,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.425,42.5%
31,JSON Extraction,High,10,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
32,JSON Extraction,High,10,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
33,JSON Extraction,High,10,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",1.0,100.0%
34,JSON Extraction,High,10,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",1.0,100.0%
35,JSON Extraction,High,10,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,1.0,100.0%
36,JSON Extraction,High,10,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.8,80.0%
37,JSON Extraction,High,10,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.75,75.0%
38,JSON Extraction,High,10,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
39,JSON Extraction,High,10,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",1.0,100.0%
40,JSON Extraction,High,10,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.425,42.5%
41,JSON Extraction,Medium,1,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
42,JSON Extraction,Medium,1,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.925,92.5%
43,JSON Extraction,Medium,1,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",1.0,100.0%
44,JSON Extraction,Medium,1,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
45,JSON Extraction,Medium,1,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.4,40.0%
46,JSON Extraction,Medium,1,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.74,74.0%
47,JSON Extraction,Medium,1,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.375,37.5%
48,JSON Extraction,Medium,1,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.74,74.0%
49,JSON Extraction,Medium,1,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
50,JSON Extraction,Medium,1,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.25,25.0%
51,JSON Extraction,Medium,3,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
52,JSON Extraction,Medium,3,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
53,JSON Extraction,Medium,3,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.8333,83.3%
54,JSON Extraction,Medium,3,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
55,JSON Extraction,Medium,3,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.6,60.0%
56,JSON Extraction,Medium,3,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.54,54.0%
57,JSON Extraction,Medium,3,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.375,37.5%
58,JSON Extraction,Medium,3,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
59,JSON Extraction,Medium,3,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
60,JSON Extraction,Medium,3,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.25,25.0%
61,JSON Extraction,Medium,5,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
62,JSON Extraction,Medium,5,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
63,JSON Extraction,Medium,5,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.8333,83.3%
64,JSON Extraction,Medium,5,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
65,JSON Extraction,Medium,5,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.6,60.0%
66,JSON Extraction,Medium,5,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.54,54.0%
67,JSON Extraction,Medium,5,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.375,37.5%
68,JSON Extraction,Medium,5,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
69,JSON Extraction,Medium,5,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.5,50.0%
70,JSON Extraction,Medium,5,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.5,50.0%
71,JSON Extraction,Medium,10,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,1.0,100.0%
72,JSON Extraction,Medium,10,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",1.0,100.0%
73,JSON Extraction,Medium,10,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.8333,83.3%
74,JSON Extraction,Medium,10,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.6,60.0%
75,JSON Extraction,Medium,10,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.4,40.0%
76,JSON Extraction,Medium,10,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.6,60.0%
77,JSON Extraction,Medium,10,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.375,37.5%
78,JSON Extraction,Medium,10,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.8,80.0%
79,JSON Extraction,Medium,10,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.125,12.5%
80,JSON Extraction,Medium,10,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.175,17.5%
81,JSON Extraction,Low,1,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,0.0,0.0%
82,JSON Extraction,Low,1,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,0.0%
83,JSON Extraction,Low,1,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,0.0%
84,JSON Extraction,Low,1,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,14.0%
85,JSON Extraction,Low,1,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.0,0.0%
86,JSON Extraction,Low,1,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,0.0%
87,JSON Extraction,Low,1,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,0.0%
88,JSON Extraction,Low,1,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,0.0%
89,JSON Extraction,Low,1,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,0.0%
90,JSON Extraction,Low,1,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.0,0.0%
91,JSON Extraction,Low,3,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,0.0,0.0%
92,JSON Extraction,Low,3,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,0.0%
93,JSON Extraction,Low,3,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,0.0%
94,JSON Extraction,Low,3,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,14.0%
95,JSON Extraction,Low,3,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.0,0.0%
96,JSON Extraction,Low,3,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,0.0%
97,JSON Extraction,Low,3,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,0.0%
98,JSON Extraction,Low,3,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,0.0%
99,JSON Extraction,Low,3,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,0.0%
100,JSON Extraction,Low,3,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.0,0.0%
101,JSON Extraction,Low,5,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,0.0,0.0%
102,JSON Extraction,Low,5,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,0.0%
103,JSON Extraction,Low,5,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,0.0%
104,JSON Extraction,Low,5,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,14.0%
105,JSON Extraction,Low,5,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.0,0.0%
106,JSON Extraction,Low,5,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,0.0%
107,JSON Extraction,Low,5,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,0.0%
108,JSON Extraction,Low,5,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,0.0%
109,JSON Extraction,Low,5,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,0.0%
110,JSON Extraction,Low,5,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.0,0.0%
111,JSON Extraction,Low,10,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,0.0,0.0%
112,JSON Extraction,Low,10,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,0.0%
113,JSON Extraction,Low,10,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,0.0%
114,JSON Extraction,Low,10,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.0,0.0%
115,JSON Extraction,Low,10,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,0.0,0.0%
116,JSON Extraction,Low,10,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,0.0%
117,JSON Extraction,Low,10,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,0.0%
118,JSON Extraction,Low,10,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,0.0%
119,JSON Extraction,Low,10,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,0.0%
120,JSON Extraction,Low,10,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,0.0,0.0%
121,Code Debugging,High,1,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.7857,78.6%
122,Code Debugging,High,1,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
123,Code Debugging,High,1,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.875,87.5%
124,Code Debugging,High,1,3,"def divide(a, b):
    return a / b",1.0,100.0%
125,Code Debugging,High,1,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.4167,41.7%
126,Code Debugging,High,1,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
127,Code Debugging,High,1,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
128,Code Debugging,High,1,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
129,Code Debugging,High,1,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.4643,46.4%
130,Code Debugging,High,1,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
131,Code Debugging,High,3,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.7857,78.6%
132,Code Debugging,High,3,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
133,Code Debugging,High,3,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.875,87.5%
134,Code Debugging,High,3,3,"def divide(a, b):
    return a / b",0.8333,83.3%
135,Code Debugging,High,3,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
136,Code Debugging,High,3,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.75,75.0%
137,Code Debugging,High,3,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
138,Code Debugging,High,3,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
139,Code Debugging,High,3,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.6429,64.3%
140,Code Debugging,High,3,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
141,Code Debugging,High,5,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.7857,78.6%
142,Code Debugging,High,5,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
143,Code Debugging,High,5,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.875,87.5%
144,Code Debugging,High,5,3,"def divide(a, b):
    return a / b",0.8333,83.3%
145,Code Debugging,High,5,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
146,Code Debugging,High,5,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
147,Code Debugging,High,5,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
148,Code Debugging,High,5,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
149,Code Debugging,High,5,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.3929,39.3%
150,Code Debugging,High,5,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
151,Code Debugging,High,10,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.7857,78.6%
152,Code Debugging,High,10,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
153,Code Debugging,High,10,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.875,87.5%
154,Code Debugging,High,10,3,"def divide(a, b):
    return a / b",0.8333,83.3%
155,Code Debugging,High,10,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.8333,83.3%
156,Code Debugging,High,10,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
157,Code Debugging,High,10,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.9375,93.8%
158,Code Debugging,High,10,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
159,Code Debugging,High,10,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.3929,39.3%
160,Code Debugging,High,10,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
161,Code Debugging,Medium,1,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",1.0,100.0%
162,Code Debugging,Medium,1,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
163,Code Debugging,Medium,1,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.875,87.5%
164,Code Debugging,Medium,1,3,"def divide(a, b):
    return a / b",0.8,80.0%
165,Code Debugging,Medium,1,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5833,58.3%
166,Code Debugging,Medium,1,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.75,75.0%
167,Code Debugging,Medium,1,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",1.0,100.0%
168,Code Debugging,Medium,1,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.8,80.0%
169,Code Debugging,Medium,1,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.2143,21.4%
170,Code Debugging,Medium,1,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
171,Code Debugging,Medium,3,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.8571,85.7%
172,Code Debugging,Medium,3,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
173,Code Debugging,Medium,3,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",1.0,100.0%
174,Code Debugging,Medium,3,3,"def divide(a, b):
    return a / b",0.8,80.0%
175,Code Debugging,Medium,3,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
176,Code Debugging,Medium,3,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.75,75.0%
177,Code Debugging,Medium,3,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.9375,93.8%
178,Code Debugging,Medium,3,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.8,80.0%
179,Code Debugging,Medium,3,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.4643,46.4%
180,Code Debugging,Medium,3,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
181,Code Debugging,Medium,5,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.9286,92.9%
182,Code Debugging,Medium,5,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
183,Code Debugging,Medium,5,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",1.0,100.0%
184,Code Debugging,Medium,5,3,"def divide(a, b):
    return a / b",0.8,80.0%
185,Code Debugging,Medium,5,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5833,58.3%
186,Code Debugging,Medium,5,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
187,Code Debugging,Medium,5,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.9375,93.8%
188,Code Debugging,Medium,5,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.9,90.0%
189,Code Debugging,Medium,5,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.2143,21.4%
190,Code Debugging,Medium,5,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
191,Code Debugging,Medium,10,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.8571,85.7%
192,Code Debugging,Medium,10,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
193,Code Debugging,Medium,10,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",1.0,100.0%
194,Code Debugging,Medium,10,3,"def divide(a, b):
    return a / b",0.8,80.0%
195,Code Debugging,Medium,10,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
196,Code Debugging,Medium,10,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
197,Code Debugging,Medium,10,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
198,Code Debugging,Medium,10,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
199,Code Debugging,Medium,10,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.2143,21.4%
200,Code Debugging,Medium,10,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
201,Code Debugging,Low,1,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.7857,78.6%
202,Code Debugging,Low,1,1,"def is_palindrome(s):
    return s == s.reverse()",0.8,80.0%
203,Code Debugging,Low,1,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",1.0,100.0%
204,Code Debugging,Low,1,3,"def divide(a, b):
    return a / b",0.2,20.0%
205,Code Debugging,Low,1,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5833,58.3%
206,Code Debugging,Low,1,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.75,75.0%
207,Code Debugging,Low,1,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
208,Code Debugging,Low,1,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.7,70.0%
209,Code Debugging,Low,1,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.0714,7.1%
210,Code Debugging,Low,1,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
211,Code Debugging,Low,3,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.8571,85.7%
212,Code Debugging,Low,3,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
213,Code Debugging,Low,3,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.75,75.0%
214,Code Debugging,Low,3,3,"def divide(a, b):
    return a / b",0.6333,63.3%
215,Code Debugging,Low,3,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
216,Code Debugging,Low,3,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.875,87.5%
